Unnamed: 0	dc_crop	ldndc_crop	initbiom
0	MS	MUST	100
1	BAR3	WBAR	100
2	SW3EG	SPWH	100
3	W3EG	WIWHÆ’	100
4	G3CC	PERG	200
5	SUGBL	POTA	100
6	G3	PERG	200
7	C5	FOCO	100
8	C6	FOCO	100
9	CM4_01	FOCO	100
10	BAR2	WBAR	100
11	DBEAN	SOYB	100
12	G40S	PERG	200
13	CM4_01	FOCO	100
14	G50S	PERG	200
15	C3	FOCO	100
16	GI3	PERG	200
17	SW2	SPWH	100
18	GCP1	PERG	200
19	0.35	SOYB	100
20	FSORG	SORG	100
21	C1	FOCO	100
22	OAT1	OATS	100
23	G3CPI	PERG	200
24	OAT3	OATS	100
25	W3	WIWH	100
26	SW1	SPWH	100
27	GI4	PERG	200
28	ALF2	ALFA	100
29	W3SR	WIWH	100
30	CCRYE	WINTERRYE 	100
31	SW1	SPWH	100
32	SW3EG	SPWH	100
33	SM2_91	SOYB	100
34	CM3_91	FOCO	100
35	C4	FOCO	100
36	OAT2	OATS	100
37	COT	COTT	100
38	SW2	SPWH	100
39	SYBN	SOYB	100
40	-200.	-99.99	100
41	CM6_01	FOCO	100
42	GI5	PERG	200
43	BAR1	WBAR	100
44	CSAFF	SAFF	100
45	PEA	PEAS	100
46	CM3_01	FOCO	100
47	G4	PERG	200
48	RYE	SPRINGRYE	100
49	SM2	SOYB	100
50	CM4R	FOCO	100
51	W3SR	WIWH	100
52	GI4	PERG	200
53	SAFF	SAFF	100
54	G1	PERG	200
55	SM2_01	SOYB	100
56	SW3	SPWH	100
57	W3HR	WIWH	100
58	W1	SPWH	100
59	W2	SPWH	100
60	SYBN2	SOYB	100
61	POT	POTA	100
62	CM5_01	FOCO	100
63	CM5_11	FOCO	100
64	MXNL	-99.99	100
65	G5	PERG	200
66	W3	SPWH	100
67	HVECH	-99.99	100
68	CAN	-99.99	100
69	W3SR	SPWH	100
70	CLV1	-99.99	100
71	CM4_91	FOCO	100
72	CM1_01	FOCO	100
73	FBEA	FABA	100
74	ALF	ALFA	100
75	SW3HR	SPWH	100
76	RAPE	RAPE	100
77	SORG	SORG	100
78	SM2_81	SOYB	100
79	CM4_81	CORN	100
80	PNUT	SOYB	100
81	SM3_91	SOYB	100
82	MUNG	MUNGBEAN	100
83	CM4_01	FOCO	100
84	CM4_11	 FOCO	100
85	E	-99.99	100
86	CM5_91	FOCO	100
87	SM2_11	SOYB	100
88	CM4I	-99.99	100
89	G3FX	PERG	200s
